Indicador,Atual,2023,2022,2021,2020,2019,ticker
P/ATIVO CIRC LIQ,-151,-131,-056,-040,-049,-097,VLID3
VPA,2064,1587,1510,1538,1299,1343,VLID3
LPA,432,261,030,073,-247,066,VLID3
GIRO ATIVOS,078,089,071,071,068,080,VLID3
ROE,"20,92%","16,43%","1,98%","4,74%","-19,05%","4,94%",VLID3
ROIC,"19,04%","16,39%","13,50%","5,00%","-4,91%","5,59%",VLID3
ROA,"12,48%","8,27%","1,37%","1,87%","-7,03%","2,13%",VLID3
DÍVIDA LÍQUIDA / EBITDA,009,056,150,368,-3693,292,VLID3
DÍVIDA LÍQUIDA / EBIT,011,069,159,612,-699,481,VLID3
DÍVIDA BRUTA / PATRIMÔNIO,036,055,070,101,123,086,VLID3
PATRIMÔNIO / ATIVOS,060,051,046,041,037,044,VLID3
PASSIVOS / ATIVOS,039,048,052,058,061,056,VLID3
LIQUIDEZ CORRENTE,287,230,187,155,120,171,VLID3
CAGR RECEITAS 5 ANOS,"1,99%","5,40%","3,60%","4,98%","3,44%","9,15%",VLID3
CAGR LUCROS 5 ANOS,"45,67%","16,05%","5,63%","-8,11%",-%,"-13,37%",VLID3
P/L,301,413,480,481,492,-2082,ETER3
P/RECEITA (PSR),030,047,056,115,114,054,ETER3
P/VP,043,068,098,230,364,-9319,ETER3
DIVIDEND YIELD (DY),"7,74%","3,95%","9,38%","1,15%","0,00%","0,00%",ETER3
PAYOUT,"16,04%","18,90%","31,05%","5,54%","0,00%","0,00%",ETER3
MARGEM LÍQUIDA,"9,81%","11,26%","11,59%","23,98%","23,24%","-2,59%",ETER3
MARGEM BRUTA,"22,54%","25,75%","31,32%","43,72%","33,38%","14,03%",ETER3
MARGEM EBIT,"5,32%","6,63%","14,87%","30,78%","27,61%","7,65%",ETER3
MARGEM EBITDA,"9,32%","9,97%","16,74%","32,24%","30,43%","10,99%",ETER3
EV/EBITDA,415,579,318,308,369,684,ETER3
EV/EBIT,728,870,358,322,406,982,ETER3
P/EBITDA,317,467,332,358,376,490,ETER3
P/EBIT,556,702,374,375,414,704,ETER3
P/ATIVO,026,040,054,128,105,048,ETER3
P/CAP.GIRO,117,193,153,244,295,6609,ETER3
P/ATIVO CIRC LIQ,-046,-072,-130,-477,-302,-084,ETER3
VPA,1286,1246,1095,912,348,-005,ETER3
LPA,184,206,223,436,257,-020,ETER3
GIRO ATIVOS,089,087,097,111,092,090,ETER3
ROE,"14,30%","16,52%","20,35%","47,83%","73,87%","-447,66%",ETER3
ROIC,"-0,94%","1,17%","19,63%","44,63%","54,89%","-17,75%",ETER3
ROA,"8,69%","9,78%","11,27%","26,63%","21,30%","-2,31%",ETER3
DÍVIDA LÍQUIDA / EBITDA,098,112,-014,-050,-007,194,ETER3
DÍVIDA LÍQUIDA / EBIT,172,168,-016,-052,-008,279,ETER3
DÍVIDA BRUTA / PATRIMÔNIO,016,018,013,007,031,-4022,ETER3
PATRIMÔNIO / ATIVOS,061,059,055,056,029,-001,ETER3
PASSIVOS / ATIVOS,039,041,045,044,071,101,ETER3
LIQUIDEZ CORRENTE,205,192,252,354,220,102,ETER3
CAGR RECEITAS 5 ANOS,"18,82%","16,03%","12,27%","6,31%","-6,86%","-12,96%",ETER3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,"40,09%",-%,ETER3
P/L,895,1895,2088,3280,000,000,VAMO3
P/RECEITA (PSR),088,183,284,469,000,000,VAMO3
P/VP,120,235,384,501,000,000,VAMO3
DIVIDEND YIELD (DY),"9,96%","3,34%","2,07%","1,64%","0,00%","0,00%",VAMO3
PAYOUT,"50,77%","52,44%","0,00%","53,69%","0,00%","0,00%",VAMO3
MARGEM LÍQUIDA,"9,87%","9,65%","13,61%","14,28%","11,84%","11,70%",VAMO3
MARGEM BRUTA,"45,70%","45,30%","42,59%","36,59%","34,21%","34,10%",VAMO3
MARGEM EBIT,"33,62%","34,24%","32,79%","26,69%","24,42%","24,16%",VAMO3
MARGEM EBITDA,"44,47%","43,84%","39,34%","0,00%","0,00%","0,00%",VAMO3
EV/EBITDA,551,770,1020,-,-,-,VAMO3
EV/EBIT,729,986,1224,2563,775,731,VAMO3
P/EBITDA,199,417,722,-,-,-,VAMO3
P/EBIT,263,534,866,1755,000,000,VAMO3
P/ATIVO,025,053,084,130,000,000,VAMO3
P/CAP.GIRO,177,437,-10370,360,000,000,VAMO3
P/ATIVO CIRC LIQ,-037,-075,-112,-249,000,000,VAMO3
VPA,471,429,330,239,183,178,VAMO3
LPA,063,053,061,037,065,051,VAMO3
GIRO ATIVOS,028,029,029,028,036,040,VAMO3
ROE,"13,35%","12,40%","18,37%","15,28%","35,40%","28,89%",VAMO3
ROIC,"11,38%","12,19%","13,48%","6,60%","8,64%","8,95%",VAMO3
ROA,"2,79%","2,82%","4,01%","3,95%","4,24%","4,64%",VAMO3
DÍVIDA LÍQUIDA / EBITDA,352,353,298,-,-,-,VAMO3
DÍVIDA LÍQUIDA / EBIT,466,452,358,808,775,731,VAMO3
DÍVIDA BRUTA / PATRIMÔNIO,292,247,206,231,566,436,VAMO3
PATRIMÔNIO / ATIVOS,021,023,022,026,012,016,VAMO3
PASSIVOS / ATIVOS,079,077,078,074,088,084,VAMO3
LIQUIDEZ CORRENTE,178,175,097,409,129,149,VAMO3
CAGR RECEITAS 5 ANOS,"42,17%","45,32%",-%,-%,-%,-%,VAMO3
CAGR LUCROS 5 ANOS,"37,40%","39,04%",-%,-%,-%,-%,VAMO3
P/L,719,1144,1236,1460,-30320,-7392,MILS3
P/RECEITA (PSR),138,231,245,203,284,557,MILS3
P/VP,143,218,216,137,131,221,MILS3
DIVIDEND YIELD (DY),"5,24%","2,25%","2,29%","2,93%","0,00%","0,00%",MILS3
PAYOUT,"37,55%","19,74%","28,37%","42,81%","0,00%","0,00%",MILS3
MARGEM LÍQUIDA,"19,22%","20,17%","19,82%","13,89%","-0,94%","-7,53%",MILS3
MARGEM BRUTA,"62,87%","64,44%","63,65%","54,60%","39,39%","35,72%",MILS3
MARGEM EBIT,"33,08%","34,06%","29,50%","19,88%","2,67%","-9,78%",MILS3
MARGEM EBITDA,"48,08%","50,06%","44,85%","39,50%","32,37%","27,14%",MILS3
EV/EBITDA,422,525,582,509,809,2073,MILS3
EV/EBIT,613,772,885,1011,9788,-5751,MILS3
P/EBITDA,287,461,546,513,879,2052,MILS3
P/EBIT,418,678,831,1020,10637,-5692,MILS3
P/ATIVO,058,116,103,103,098,178,MILS3
P/CAP.GIRO,305,506,350,507,353,1857,MILS3
P/ATIVO CIRC LIQ,-090,-184,-190,-154,-156,-229,MILS3
VPA,625,623,528,466,469,473,MILS3
LPA,124,119,092,044,-002,-014,MILS3
GIRO ATIVOS,042,050,042,051,034,032,MILS3
ROE,"19,83%","19,05%","17,50%","9,40%","-0,43%","-2,99%",MILS3
ROIC,"12,48%","14,46%","14,23%","8,35%","0,46%","-4,38%",MILS3
ROA,"8,10%","10,15%","8,37%","7,06%","-0,32%","-3,27%",MILS3
DÍVIDA LÍQUIDA / EBITDA,135,064,036,-005,-070,021,MILS3
DÍVIDA LÍQUIDA / EBIT,196,094,055,-009,-849,-059,MILS3
DÍVIDA BRUTA / PATRIMÔNIO,113,068,079,018,024,014,MILS3
PATRIMÔNIO / ATIVOS,041,053,048,075,074,080,MILS3
PASSIVOS / ATIVOS,059,047,052,025,026,020,MILS3
LIQUIDEZ CORRENTE,215,262,284,261,384,176,MILS3
CAGR RECEITAS 5 ANOS,"28,00%","35,27%","30,26%","13,23%","-2,55%","-11,16%",MILS3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,MILS3
P/L,-3676,-3001,758,629,754,5766,PTBL3
P/RECEITA (PSR),024,048,053,071,073,068,PTBL3
P/VP,143,273,248,382,232,206,PTBL3
DIVIDEND YIELD (DY),-,"2,82%","4,04%","11,70%","0,58%","2,88%",PTBL3
PAYOUT,-,"-84,50%","30,65%","73,57%","4,38%","166,35%",PTBL3
MARGEM LÍQUIDA,"-0,66%","-1,60%","6,97%","11,31%","9,63%","1,18%",PTBL3
MARGEM BRUTA,"37,39%","39,05%","43,05%","43,26%","34,54%","32,54%",PTBL3
MARGEM EBIT,"7,30%","6,19%","50,96%","15,10%","8,68%","6,74%",PTBL3
MARGEM EBITDA,"14,64%","12,49%","18,48%","18,88%","13,34%","11,65%",PTBL3
EV/EBITDA,461,711,503,536,954,1196,PTBL3
EV/EBIT,924,1434,183,671,1466,2068,PTBL3
P/EBITDA,165,384,286,377,545,583,PTBL3
P/EBIT,331,776,104,471,837,1008,PTBL3
P/ATIVO,017,032,047,063,048,041,PTBL3
P/CAP.GIRO,-247,9932,734,708,549,-314,PTBL3
P/ATIVO CIRC LIQ,-026,-054,-084,-109,-087,-062,PTBL3
VPA,280,274,331,253,296,261,PTBL3
LPA,-011,-025,109,153,091,009,PTBL3
GIRO ATIVOS,072,066,089,089,065,061,PTBL3
ROE,"-3,89%","-9,08%","32,77%","60,70%","30,73%","3,57%",PTBL3
ROIC,"10,27%","7,03%","79,06%","24,53%","6,41%","5,32%",PTBL3
ROA,"-0,47%","-1,06%","6,17%","10,02%","6,30%","0,72%",PTBL3
DÍVIDA LÍQUIDA / EBITDA,296,326,218,160,410,613,PTBL3
DÍVIDA LÍQUIDA / EBIT,593,658,079,200,630,1060,PTBL3
DÍVIDA BRUTA / PATRIMÔNIO,302,357,189,215,174,216,PTBL3
PATRIMÔNIO / ATIVOS,012,012,019,017,021,020,PTBL3
PASSIVOS / ATIVOS,088,088,081,083,079,107,PTBL3
LIQUIDEZ CORRENTE,083,101,117,127,124,072,PTBL3
CAGR RECEITAS 5 ANOS,"15,92%","10,66%","16,49%","13,47%","4,65%","3,26%",PTBL3
CAGR LUCROS 5 ANOS,-,-%,"19,00%","151,92%","19,48%","-32,44%",PTBL3
P/L,34702,3990,1547,2109,-18994,000,PRNR3
P/RECEITA (PSR),066,052,038,071,168,000,PRNR3
P/VP,192,243,145,134,180,000,PRNR3
DIVIDEND YIELD (DY),"0,53%","0,00%","4,44%","0,83%","0,00%","0,00%",PRNR3
PAYOUT,"185,25%","0,00%","81,26%","0,00%","0,00%","-5,27%",PRNR3
MARGEM LÍQUIDA,"0,19%","1,31%","2,49%","3,35%","-0,88%","-1,75%",PRNR3
MARGEM BRUTA,"21,17%","20,60%","24,41%","16,27%","11,21%","14,06%",PRNR3
MARGEM EBIT,"6,48%","8,35%","12,84%","4,73%","-1,91%","2,23%",PRNR3
MARGEM EBITDA,"11,32%","12,09%","16,07%","9,56%","6,94%","7,62%",PRNR3
EV/EBITDA,821,620,271,716,2144,156,PRNR3
EV/EBIT,1433,897,339,1446,-7779,534,PRNR3
P/EBITDA,582,432,239,739,2419,000,PRNR3
P/EBIT,1015,625,300,1493,-8779,000,PRNR3
P/ATIVO,053,065,050,082,121,000,PRNR3
P/CAP.GIRO,286,325,330,289,294,000,PRNR3
P/ATIVO CIRC LIQ,-110,-140,-118,-189,-308,000,PRNR3
VPA,707,481,461,490,483,159,PRNR3
LPA,004,029,043,031,-005,-013,PRNR3
GIRO ATIVOS,081,125,131,116,072,146,PRNR3
ROE,"0,55%","6,10%","9,39%","6,33%","-0,95%","-8,21%",PRNR3
ROIC,"7,72%","11,70%","22,86%","6,36%","-4,37%","1,75%",PRNR3
ROA,"0,96%","3,00%","10,48%","3,87%","-0,92%","-4,51%",PRNR3
DÍVIDA LÍQUIDA / EBITDA,239,187,031,-023,-275,156,PRNR3
DÍVIDA LÍQUIDA / EBIT,417,271,039,-047,1000,534,PRNR3
DÍVIDA BRUTA / PATRIMÔNIO,137,166,073,029,028,116,PRNR3
PATRIMÔNIO / ATIVOS,028,027,035,061,067,031,PRNR3
PASSIVOS / ATIVOS,071,071,064,039,033,069,PRNR3
LIQUIDEZ CORRENTE,156,161,137,199,308,134,PRNR3
CAGR RECEITAS 5 ANOS,"22,54%","26,17%","28,03%","16,24%",-%,-%,PRNR3
CAGR LUCROS 5 ANOS,-,"37,31%",-%,"18,26%",-%,-%,PRNR3
P/L,962,1122,555,632,501,2239,SOND6
P/RECEITA (PSR),065,082,056,106,164,155,SOND6
P/VP,189,221,127,133,151,190,SOND6
DIVIDEND YIELD (DY),-,"11,24%","20,51%","23,99%","2,14%","15,91%",SOND6
PAYOUT,"123,43%","122,18%","110,11%","146,90%","10,40%","344,95%",SOND6
MARGEM LÍQUIDA,"6,73%","7,28%","10,11%","16,80%","32,79%","6,90%",SOND6
MARGEM BRUTA,"32,47%","34,77%","42,01%","35,77%","27,95%","31,97%",SOND6
MARGEM EBIT,"9,43%","12,50%","15,60%","17,65%","28,87%","4,29%",SOND6
MARGEM EBITDA,"12,09%","14,65%","17,01%","19,73%","31,84%","6,84%",SOND6
EV/EBITDA,373,378,226,372,288,770,SOND6
EV/EBIT,478,443,247,416,317,1226,SOND6
P/EBITDA,535,558,330,538,516,2260,SOND6
P/EBIT,687,654,359,602,569,3601,SOND6
P/ATIVO,094,135,081,091,108,133,SOND6
P/CAP.GIRO,317,405,225,294,261,342,SOND6
P/ATIVO CIRC LIQ,-237,-339,-201,-186,-270,-314,SOND6
VPA,2433,2449,2555,2677,2848,2105,SOND6
LPA,478,483,583,561,858,179,SOND6
GIRO ATIVOS,146,166,144,085,066,086,SOND6
ROE,"19,65%","19,73%","22,84%","20,97%","30,13%","8,49%",SOND6
ROIC,"12,79%","18,38%","18,45%","15,73%","24,18%","4,75%",SOND6
ROA,"9,87%","12,06%","17,10%","14,34%","21,51%","5,96%",SOND6
DÍVIDA LÍQUIDA / EBITDA,-144,-108,-126,-194,-216,-630,SOND6
DÍVIDA LÍQUIDA / EBIT,-184,-127,-138,-216,-238,-1004,SOND6
DÍVIDA BRUTA / PATRIMÔNIO,-,000,000,000,000,000,SOND6
PATRIMÔNIO / ATIVOS,050,061,064,068,071,070,SOND6
PASSIVOS / ATIVOS,050,039,036,032,029,030,SOND6
LIQUIDEZ CORRENTE,199,226,247,250,321,310,SOND6
CAGR RECEITAS 5 ANOS,"22,38%","27,24%","23,50%","-0,97%","-10,40%","-16,58%",SOND6
CAGR LUCROS 5 ANOS,"21,88%","11,27%","39,48%",-%,-%,"-15,38%",SOND6
P/L,1548,1979,1556,2680,,,GGPS3
P/RECEITA (PSR),077,120,087,162,,,GGPS3
P/VP,303,427,310,489,,,GGPS3
DIVIDEND YIELD (DY),"2,01%","1,37%","0,00%","1,18%",,,GGPS3
PAYOUT,"31,10%","27,20%","0,00%","31,62%",,,GGPS3
MARGEM LÍQUIDA,"4,97%","6,04%","5,60%","6,04%",,,GGPS3
MARGEM BRUTA,"16,04%","17,28%","16,54%","16,86%",,,GGPS3
MARGEM EBIT,"9,12%","10,80%","10,10%","9,21%",,,GGPS3
MARGEM EBITDA,"10,70%","12,15%","4,05%","0,00%",,,GGPS3
EV/EBITDA,855,1044,3132,-,,,GGPS3
EV/EBIT,1003,1175,1254,2096,,,GGPS3
P/EBITDA,718,985,2155,-,,,GGPS3
P/EBIT,843,1108,863,1758,,,GGPS3
P/ATIVO,072,127,089,162,,,GGPS3
P/CAP.GIRO,236,421,248,558,,,GGPS3
P/ATIVO CIRC LIQ,-154,-280,-212,-338,,,GGPS3
VPA,509,442,384,324,,,GGPS3
LPA,100,095,077,059,,,GGPS3
GIRO ATIVOS,094,106,102,100,,,GGPS3
ROE,"19,58%","21,55%","19,95%","18,25%",,,GGPS3
ROIC,"11,07%","14,62%","10,82%","10,34%",,,GGPS3
ROA,"4,69%","6,45%","5,75%","6,05%",,,GGPS3
DÍVIDA LÍQUIDA / EBITDA,136,060,977,-,,,GGPS3
DÍVIDA LÍQUIDA / EBIT,160,067,391,339,,,GGPS3
DÍVIDA BRUTA / PATRIMÔNIO,151,102,141,094,,,GGPS3
PATRIMÔNIO / ATIVOS,024,030,029,033,,,GGPS3
PASSIVOS / ATIVOS,076,070,071,067,,,GGPS3
LIQUIDEZ CORRENTE,233,223,265,227,,,GGPS3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,,,GGPS3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,,,GGPS3
P/L,-2595,-1404,-210,-392,-1181,,ALPK3
P/RECEITA (PSR),037,076,030,105,311,,ALPK3
P/VP,156,282,082,158,298,,ALPK3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%",,ALPK3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,ALPK3
MARGEM LÍQUIDA,"-1,41%","-5,45%","-14,45%","-26,82%","-26,33%",,ALPK3
MARGEM BRUTA,"32,19%","32,44%","28,49%","24,78%","25,38%",,ALPK3
MARGEM EBIT,"13,57%","12,68%","6,81%","-3,88%","1,26%",,ALPK3
MARGEM EBITDA,"23,61%","28,97%","24,54%","22,89%","28,30%",,ALPK3
EV/EBITDA,502,575,575,1122,1881,,ALPK3
EV/EBIT,874,1314,2072,-6624,42252,,ALPK3
P/EBITDA,155,264,124,459,1098,,ALPK3
P/EBIT,269,603,446,-2707,24674,,ALPK3
P/ATIVO,021,041,013,034,075,,ALPK3
P/CAP.GIRO,-267,-300,-053,-212,-332,,ALPK3
P/ATIVO CIRC LIQ,-026,-048,-015,-038,-081,,ALPK3
VPA,164,169,191,256,312,,ALPK3
LPA,-010,-034,-074,-103,-079,,ALPK3
GIRO ATIVOS,058,054,043,032,024,,ALPK3
ROE,"-6,00%","-20,12%","-38,79%","-40,32%","-25,21%",,ALPK3
ROIC,"10,74%","9,35%","3,98%","-1,82%","0,31%",,ALPK3
ROA,"-0,55%","-2,71%","-6,15%","-8,70%","-6,33%",,ALPK3
DÍVIDA LÍQUIDA / EBITDA,347,311,451,664,783,,ALPK3
DÍVIDA LÍQUIDA / EBIT,604,711,1625,-3917,17578,,ALPK3
DÍVIDA BRUTA / PATRIMÔNIO,426,384,330,246,218,,ALPK3
PATRIMÔNIO / ATIVOS,014,015,016,022,025,,ALPK3
PASSIVOS / ATIVOS,086,085,083,078,075,,ALPK3
LIQUIDEZ CORRENTE,071,049,030,040,025,,ALPK3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,ALPK3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,ALPK3
P/L,1010,3618,2740,30815,000,000,ARML3
P/RECEITA (PSR),123,434,428,1935,000,000,ARML3
P/VP,168,480,351,678,000,000,ARML3
DIVIDEND YIELD (DY),"6,20%","0,88%","3,46%","0,31%","0,00%","0,00%",ARML3
PAYOUT,"51,89%","35,64%","67,13%","95,21%","0,00%","0,00%",ARML3
MARGEM LÍQUIDA,"12,19%","12,00%","15,62%","6,28%","22,22%","26,67%",ARML3
MARGEM BRUTA,"42,52%","46,06%","47,03%","48,20%","44,44%","46,67%",ARML3
MARGEM EBIT,"32,38%","33,44%","33,68%","33,21%","36,88%","0,00%",ARML3
MARGEM EBITDA,"42,67%","47,08%","48,10%","47,22%","51,81%","0,00%",ARML3
EV/EBITDA,534,1142,1153,4230,388,-,ARML3
EV/EBIT,703,1607,1646,6015,545,-,ARML3
P/EBITDA,289,922,890,4098,000,-,ARML3
P/EBIT,380,1298,1271,5828,000,-,ARML3
P/ATIVO,041,148,109,230,000,000,ARML3
P/CAP.GIRO,270,1342,454,476,000,000,ARML3
P/ATIVO CIRC LIQ,-063,-211,-167,-545,000,000,ARML3
VPA,357,355,334,321,025,006,ARML3
LPA,060,047,043,007,007,005,ARML3
GIRO ATIVOS,033,034,025,012,025,052,ARML3
ROE,"16,65%","13,28%","12,83%","2,20%","28,22%","72,12%",ARML3
ROIC,"11,94%","12,46%","9,15%","3,24%","9,26%","-4,25%",ARML3
ROA,"4,12%","4,10%","3,98%","1,77%","5,58%","13,75%",ARML3
DÍVIDA LÍQUIDA / EBITDA,245,220,263,132,388,-,ARML3
DÍVIDA LÍQUIDA / EBIT,323,309,375,188,545,-,ARML3
DÍVIDA BRUTA / PATRIMÔNIO,234,174,185,172,355,325,ARML3
PATRIMÔNIO / ATIVOS,024,031,031,034,020,019,ARML3
PASSIVOS / ATIVOS,075,069,069,066,080,080,ARML3
LIQUIDEZ CORRENTE,176,159,328,609,136,049,ARML3
CAGR RECEITAS 5 ANOS,"94,99%",-%,-%,-%,-%,-%,ARML3
CAGR LUCROS 5 ANOS,"67,36%",-%,-%,-%,-%,-%,ARML3
P/L,364,565,247,267,439,1138,HAGA4
P/RECEITA (PSR),053,049,049,051,082,121,HAGA4
P/VP,-030,-026,-024,-035,-035,-038,HAGA4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",HAGA4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",HAGA4
MARGEM LÍQUIDA,"14,50%","8,64%","19,66%","19,26%","18,72%","10,61%",HAGA4
MARGEM BRUTA,"26,58%","25,19%","23,18%","28,84%","28,14%","21,76%",HAGA4
MARGEM EBIT,"4,07%","3,80%","15,73%","21,81%","25,24%","18,21%",HAGA4
MARGEM EBITDA,"4,98%","6,51%","0,00%","0,00%","0,00%","0,00%",HAGA4
EV/EBITDA,-336,-101,-,-,-,-,HAGA4
EV/EBIT,-411,-174,131,046,-055,056,HAGA4
P/EBITDA,1061,750,-,-,-,-,HAGA4
P/EBIT,1299,1286,309,236,326,663,HAGA4
P/ATIVO,023,023,023,035,041,051,HAGA4
P/CAP.GIRO,046,050,066,104,116,-045,HAGA4
P/ATIVO CIRC LIQ,-206,-161,-148,-201,-233,-259,HAGA4
VPA,-431,-453,-474,-520,-588,-635,HAGA4
LPA,036,021,047,067,047,021,HAGA4
GIRO ATIVOS,044,047,048,069,050,042,HAGA4
ROE,"-8,28%","-4,61%","-9,83%","-12,95%","-7,98%","-3,31%",HAGA4
ROIC,"2,28%","2,14%","-11,25%","-12,78%","-9,34%","-5,17%",HAGA4
ROA,"6,44%","4,03%","9,35%","13,29%","9,35%","4,44%",HAGA4
DÍVIDA LÍQUIDA / EBITDA,-1667,-1196,-,-,-,-,HAGA4
DÍVIDA LÍQUIDA / EBIT,-2040,-2052,-393,-414,-446,-827,HAGA4
DÍVIDA BRUTA / PATRIMÔNIO,-040,-039,-037,000,000,000,HAGA4
